basque,spanish,context
bereizmen,resolución,Physics > General Physics specialities
berezkotasun,característica,Juridical Sciences & Law > Law Philosophy
berezkotasun, particularidad,Juridical Sciences & Law > Law Philosophy
berezkotasun,característica propia,Juridical Sciences & Law > Constitutional law
berme,garantía,Juridical Sciences & Law > Law Philosophy
berme,garantía,Juridical Sciences & Law > Roman law
berme,garantía,Juridical Sciences & Law > Finance law
berme,garantía,Juridical Sciences & Law > Administrative law
berme,garantía,Juridical Sciences & Law > Civil law
berme,apoyo,Technological Sciences > Construction technology
berme, unión,Technological Sciences > Construction technology
berme,garantía,Juridical Sciences & Law > Commercial law
berme,garantía,Education sciences
berme,garantía,Juridical Sciences & Law > Constitutional law
berme,garantía,Technological Sciences > Projects
bero-ahalmen,poder calorífico,Technological Sciences > Chemical technology and engineering
bero-ahalmen,capacidad calorífica,Chemistry > Physical chemistry
bero-ahalmen,capacidad calórica,Technological Sciences > Environmental technology and engineering
bero-ahalmen, capacidad calorífica,Technological Sciences > Environmental technology and engineering
bero-ahalmen, capacidad térmica,Technological Sciences > Environmental technology and engineering
bero-ahalmen, poder calorífico,Technological Sciences > Environmental technology and engineering
bero-ahalmen, potencia calorífica,Technological Sciences > Environmental technology and engineering
bero-ahalmen, valor calorífico,Technological Sciences > Environmental technology and engineering
bero-ahalmen,capacidad calorífica,Physics > Thermodynamics
bero-energia,energía calorifica,Technological Sciences > Food technology
bero-energia,energía térmica,Technological Sciences > Chemical technology and engineering
bero-energia,energía térmica,Technological Sciences > Environmental technology and engineering
bero-iturri,foco de calor,Physics > Thermodynamics
bero-iturri, reservorio de calor,Physics > Thermodynamics
bero-iturri,fuente de calor,Technological Sciences > Food technology
berogailu,calentador,Technological Sciences > Environmental technology and engineering
berogailu,calefactor,Chemistry > Physical chemistry
berogailu,calentador,Technological Sciences > Electronic technology
berogailu,estufa,Medical Sciences > Pharmaceutical Technology
berreketa,potenciación,Mathematics > Analysis and functional analysis
berreketa,exponenciación,Mathematics > Algebra
berrespen,ratificación,Juridical Sciences & Law > Procedural law
berrespen,confirmación,Chemistry > Analytical chemistry
berrespen, validación,Chemistry > Analytical chemistry
berrespen,ratificación,Juridical Sciences & Law > Finance law
berrespen,ratificación,Juridical Sciences & Law > Constitutional law
berrespen, refrendo,Juridical Sciences & Law > Constitutional law
berretsi,confirmar,Juridical Sciences & Law > Administrative law
berretsi,ratificar,Juridical Sciences & Law > Finance law
berretsi,ratificar,Juridical Sciences & Law > Constitutional law
berretsi, refrendar,Juridical Sciences & Law > Constitutional law
berretsi,confirmar,Juridical Sciences & Law > Law Philosophy
berretsi, ratificar,Juridical Sciences & Law > Law Philosophy
besterendu,enajenar,Juridical Sciences & Law > Roman law
besterendu,delegar,Juridical Sciences & Law > Constitutional law
besterendu,enajenar,Juridical Sciences & Law > Administrative law
besterentze,enajenación,Juridical Sciences & Law > Roman law
besterentze,transmisión,Juridical Sciences & Law > Civil law
besterentze,transferencia,Juridical Sciences & Law > Constitutional law
BET,tasa interna de rendimiento,Technological Sciences > Projects
BET, TIR,Technological Sciences > Projects
BET,Tasa Interna de Rendimiento,Economic Sciences > Economic accounting
beta izpi,radiación beta,Physics > Mechanics
beta izpi, rayos beta,Physics > Mechanics
beta izpi,rayo beta,Life sciences > Microbiology
betearazle,ejecutante,Juridical Sciences & Law > Procedural law
betearazle,ejecutivo,Juridical Sciences & Law > Constitutional law
betearazle,ejecutor ,Juridical Sciences & Law > Labour and Social Security law
betearazle, ejecutora,Juridical Sciences & Law > Labour and Social Security law
betebehar,obligación,Juridical Sciences & Law > Administrative law
betebehar,deber,Juridical Sciences & Law > Civil law
betebehar, obligación,Juridical Sciences & Law > Civil law
betebehar,deber,Juridical Sciences & Law > Constitutional law
betebehar, exigencia,Juridical Sciences & Law > Constitutional law
betebehar, necesidad,Juridical Sciences & Law > Constitutional law
betebehar, obligación,Juridical Sciences & Law > Constitutional law
betebehar,obligación,Juridical Sciences & Law > Law Philosophy
betebehar,obligación,Juridical Sciences & Law > Labour and Social Security law
betebehar,requerimiento,Technological Sciences > Computer technology
betebehar,obligación,Education sciences
betebehar, requisito,Education sciences
betebehar,requisito,Technological Sciences > Projects
betekizun,obligación,Juridical Sciences & Law > Civil law
betekizun,requisito,Juridical Sciences & Law > Administrative law
betekizun,rol,Technological Sciences > Projects
betekizun, requisito,Technological Sciences > Projects
betekizun,función,Juridical Sciences & Law > Constitutional law
betekizun, tarea,Juridical Sciences & Law > Constitutional law
betekizun,obligación,Juridical Sciences & Law > Law Philosophy
betelan,operaciones de relleno,Technological Sciences > Environmental technology and engineering
betelan,relleno,Technological Sciences > Construction technology
betetze,cumplimiento,Juridical Sciences & Law > Constitutional law
betetze,cumplimiento,Medical Sciences > Pharmacology
betetze,llenado,Medical Sciences > Pharmaceutical Technology
betetze,cumplimiento,Juridical Sciences & Law > Civil law
betetze,relleno,Technological Sciences > Environmental technology and engineering
bide,camino,Juridical Sciences & Law > Constitutional law
bide, procedimiento,Juridical Sciences & Law > Constitutional law
bide,trayectoria,Physics > Electro-magnetism
bide,vía,Medical Sciences > Pharmacology
bide,camino,Mathematics > Topology
bide,camino,Mathematics > Analysis and functional analysis
biderketa,multiplicación,Physics > Electro-magnetism
biderketa,multiplicación,Technological Sciences > Environmental technology and engineering
biderketa,multiplicación,Mathematics > Analysis and functional analysis
biderketa,producto,Mathematics > Algebra
biderketa eskalar,multiplicacion escalar,Technological Sciences > Construction technology
biderketa eskalar,producto escalar,Technological Sciences > Telecommunications technology
biderketa eskalar,multiplicación escalar,Mathematics > Analysis and functional analysis
biderketa eskalar, multiplicación interna,Mathematics > Analysis and functional analysis
biderketa eskalar,mutiplicacion escalar,Physics > General Physics specialities
bidezkotasun,legitimidad,Juridical Sciences & Law > Constitutional law
bidezkotasun,procedencia,Juridical Sciences & Law > Labour and Social Security law
bihurgarri,clientes,Economic Sciences > General economics
bihurgarri,activo realizable,Economic Sciences > Organization and management of enterprises
bihurgarri, realizable,Economic Sciences > Organization and management of enterprises
bikote,pareja,Physics > Electro-magnetism
bikote,par,Mathematics > Algebra
bikote,díada,Education sciences
bikote, pareja,Education sciences
bikote,par,Mathematics > Analysis and functional analysis
bilakaera,evolución,Juridical Sciences & Law > Constitutional law
bilakaera,desarrollo,Education sciences
bilbe,cisterna,Life sciences > Cell biology
bilbe,trama,Technological Sciences > Instrumentation technology
bilbe,trama,Technological Sciences > Telecommunications technology
bilgarri,envuelta,Life sciences > Microbiology
bilgarri,envoltorio,Medical Sciences > Pharmaceutical Technology
biltegi,almacén,Economic Sciences > Organization and management of enterprises
biltegi,recipiente,Technological Sciences > Environmental technology and engineering
biltegi, tanque,Technological Sciences > Environmental technology and engineering
biltegi, almacén,Technological Sciences > Environmental technology and engineering
biltegi, depósito,Technological Sciences > Environmental technology and engineering
biltegi,almacén,Medical Sciences > Pharmaceutical Technology
biltegi,depósito,Physics > Fluids (physics of)
biopelikula,biofilm,Medical Sciences > Microbiology
biopelikula, biopelicula,Medical Sciences > Microbiology
biopelikula, slime,Medical Sciences > Microbiology
biopelikula,placa bacteriana,Medical Sciences > Dentistry
Biot eta Savart-en legea,ley de Biot y Savart,Physics > Aplied Physics
Biot eta Savart-en legea,ley de Biot-Savart,Physics > Electro-magnetism
biraketa,rotación,Medical Sciences > Pharmaceutical Technology
biraketa,rotación,Physics > Mechanics
biraketa,giro,Technological Sciences > Construction technology
biraketa,giro,Technological Sciences > Electrical technology and engineering
biraketa,rotación,Physics > Theoretical physics
biraketa,rotación,Mathematics > Algebra
biraketa,rotación,Life sciences > Biochemistry and Molecular Biology
biraketa,rotación,Physics > General Physics specialities
biraketa,revolución,Mathematics > Analysis and functional analysis
biraketa, rotación,Mathematics > Analysis and functional analysis
biraketa,rotación,Physics > Aplied Physics
biraketa,rotación,Technological Sciences > Environmental technology and engineering
biraketa,rotación,Physics > Electro-magnetism
biraketa-abiadura,velocidad de giro,Physics > Mechanics
biraketa-abiadura, velocidad de rotación,Physics > Mechanics
biraketa-abiadura,velocidad de giro,Medical Sciences > Pharmaceutical Technology
biraketa-abiadura,velocidad de rotación,Technological Sciences > Mechanical engineering and technology
biraketa-abiadura,velocidad de rotación,Life sciences > Biochemistry and Molecular Biology
biraketa-abiadura,velocidad de giro,Technological Sciences > Electrical technology and engineering
biraketa-abiadura, velocidad de rotación,Technological Sciences > Electrical technology and engineering
biraketa-angelu,ángulo de giro,Technological Sciences > Construction technology
biraketa-angelu,ángulo de revolución,Mathematics > Analysis and functional analysis
biraketa-ardatz,eje de rotación,Physics > Mechanics
biraketa-ardatz,eje de revolución,Technological Sciences > Industrial technology
biraketa-ardatz,eje de giro,Technological Sciences > Mechanical engineering and technology
biraketa-ardatz, eje de revolución,Technological Sciences > Mechanical engineering and technology
biraketa-ardatz, eje de rotación,Technological Sciences > Mechanical engineering and technology
biraketa-ardatz,eje de rotación,Life sciences > Biochemistry and Molecular Biology
biraketa-ardatz,eje de rotación,Technological Sciences > Environmental technology and engineering
biraketa-ardatz,eje de revolución,Technological Sciences > Construction technology
biraketa-ardatz,eje de giro,Physics > Aplied Physics
biraketa-ardatz, eje de rotación,Physics > Aplied Physics
biraketa-ardatz,eje de rotación,Physics > Electro-magnetism
biraketa-matrize,matriz de rotación,Physics > Theoretical physics
biraketa-matrize,matriz de giro,Technological Sciences > Construction technology
biratu,girar,Technological Sciences > Electrical technology and engineering
biratu,rotar,Mathematics > Analysis and functional analysis
birjarpen,reincidencia,Juridical Sciences & Law > Labour and Social Security law
birjarpen,reposición,Economic Sciences > Organization and management of enterprises
birkonbinaketa,recombinación,Medical Sciences > Microbiology
birkonbinaketa,recombinación de genes,Life sciences > Biochemistry and Molecular Biology
bitartekari,mediador,Education sciences
bitartekari, mediadora,Education sciences
bitartekari,intermedio,Chemistry > Organic chemistry
bitartekari,intermediario,Juridical Sciences & Law > Civil law
bitartekari, mediador,Juridical Sciences & Law > Civil law
bitartekari,mediador,Juridical Sciences & Law > Labour and Social Security law
bitartekari,mediador,Juridical Sciences & Law > Procedural law
bitartekotza,mediación,Juridical Sciences & Law > Administrative law
bitartekotza,mediación,Juridical Sciences & Law > Labour and Social Security law
bitartekotza,mediación,Juridical Sciences & Law > Procedural law
bitartekotza,mediación,Juridical Sciences & Law > Civil law
bitartekotza,intermediación,Technological Sciences > Projects
bitartekotza,mediación,Education sciences
bizi-ziklo,ciclo de vida,Life sciences > Animal Biology
bizi-ziklo,ciclo vital,Medical Sciences > Microbiology
bizi-ziklo,ciclo vital,Life sciences > Cell biology
bizi-ziklo,ciclo de vida,Technological Sciences > Projects
bizi-ziklo,ciclo de vida,Life sciences > Microbiology
bizileku,habitat,Medical Sciences > Microbiology
bizileku,domicilio,Juridical Sciences & Law > Roman law
bizileku,domicilio,Juridical Sciences & Law > Constitutional law
bizileku,domicilio,Juridical Sciences & Law > Administrative law
bolkanismo,volcanismo,Earth and Space Sciences > Geology
bolkanismo,vulcanismo,Technological Sciences > Environmental technology and engineering
bolumen-elementu,volumen elemental,Physics > Thermodynamics
bolumen-elementu,elemento de volumen,Physics > Electro-magnetism
borne,borne,Technological Sciences > Environmental technology and engineering
borne,cota,Mathematics > Analysis and functional analysis
borne,borna,Technological Sciences > Telecommunications technology
borne, terminal,Technological Sciences > Telecommunications technology
borne,borne,Physics > Aplied Physics
borne, terminal,Physics > Aplied Physics
borne,borne,Technological Sciences > Electronic technology
borne, terminal,Technological Sciences > Electronic technology
borne,borne,Physics > Electro-magnetism
borne,borne,Technological Sciences > Electrical technology and engineering
borne, terminal,Technological Sciences > Electrical technology and engineering
bortxaezintasun,inmunidad,Juridical Sciences & Law > International law
bortxaezintasun,inviolabilidad,Juridical Sciences & Law > Constitutional law
bridatu,bridar,Technological Sciences > Food technology
bridatu,embridar,Technological Sciences > Mechanical engineering and technology
buffer,buffer,Economic Sciences > Organization and management of enterprises
buffer,buffer,Technological Sciences > Instrumentation technology
buffer, memoria intermedia,Technological Sciences > Instrumentation technology
buffer,buffer,Technological Sciences > Computer technology
buffer,colchón,Technological Sciences > Projects
burbuila,burbuja,Medical Sciences > Pharmaceutical Technology
burbuila,burbuja,Medical Sciences > Medical diagnostic and Treatment Technology
burbuila,parada,Technological Sciences > Computer technology
burbuila,burbuja,Chemistry > Physical chemistry
burbuila,burbuja,Technological Sciences > Environmental technology and engineering
burdinurtu,fundición,Technological Sciences > Mechanical engineering and technology
burdinurtu,hierro colado,Physics > Fluids (physics of)
burdinurtu, hierro fundido,Physics > Fluids (physics of)
burdinurtu,hierro fundido,Technological Sciences > Electrical technology and engineering
burtsako balio,cotización bursátil,Economic Sciences > Economic accounting
burtsako balio,valor bursátil,Economic Sciences > Organization and management of enterprises
burtsako balio, valor en bolsa,Economic Sciences > Organization and management of enterprises
burtsako indize,índice de bolsa,Economic Sciences > Organization and management of enterprises
burtsako indize,índice bursátil,Economic Sciences > Economic accounting
buru,magister,Juridical Sciences & Law > Roman law
buru,cabeza,Medical Sciences > Pharmacology
CO<sub>2</sub>,carbono dioxido,Life sciences > Biochemistry and Molecular Biology
CO<sub>2</sub>, CO<sub>2</sub>,Life sciences > Biochemistry and Molecular Biology
CO<sub>2</sub>,CO<sub>2</sub>,Technological Sciences > Environmental technology and engineering
CO<sub>2</sub>, dióxido de carbono,Technological Sciences > Environmental technology and engineering
CO<sub>2</sub>,anhídrido carbónico,Chemistry > Physical chemistry
deformazio-egoera,estadio de deformación,Earth and Space Sciences > Geology
deformazio-egoera, fase de deformación,Earth and Space Sciences > Geology
deformazio-egoera,estado de deformación,Technological Sciences > Construction technology
dei,citación,Juridical Sciences & Law > Procedural law
dei,convocatoria,Juridical Sciences & Law > Administrative law
dei,llamada,Technological Sciences > Computer technology
delitu publiko,delito público,Juridical Sciences & Law > Procedural law
delitu publiko,crimen,Juridical Sciences & Law > Roman law
denbora-eremu,dominio del tiempo,Physics > Electro-magnetism
denbora-eremu, dominio temporal,Physics > Electro-magnetism
denbora-eremu,dominio temporal,Technological Sciences > Telecommunications technology
denbora-eremu,dominio del tiempo,Technological Sciences > Electrical technology and engineering
denbora-eremu,ámbito temporal,Juridical Sciences & Law > Labour and Social Security law
denbora-tarte,intervalo,Life sciences > Biochemistry and Molecular Biology
denbora-tarte,intervalo de tiempo,Economic Sciences > Economic accounting
denbora-tarte,espacio de tiempo,Technological Sciences > Electrical technology and engineering
denbora-tarte,intervalo de tiempo,Technological Sciences > Telecommunications technology
denbora-tarte,periodo de tiempo,Life sciences > Microbiology
denbora-tarte,intervalo de tiempo,Physics > Aplied Physics
denbora-tarte,período de tiempo,Physics > Electro-magnetism
denbora-tarte,intervalo de tiempo,Mathematics > Analysis and functional analysis
denbora-tarte,intervalo de tiempo,Physics > Mechanics
denbora-tarte,intervalo de tiempo,Technological Sciences > Instrumentation technology
denbora-tarte, intervalo temporal,Technological Sciences > Instrumentation technology
dentsitate-funtzio,función de densidad de probabilidad,Technological Sciences > Construction technology
dentsitate-funtzio,función de densidad,Economic Sciences > Econometrics
dentsitate-funtzio,función de densidad,Mathematics > Statistics
dentsitate-funtzio,función de densidad,Technological Sciences > Environmental technology and engineering
dentsitate-funtzio,función de densidad,Mathematics > Analysis and functional analysis
deribatu,derivada,Physics > Electro-magnetism
deribatu,derivar,Physics > Aplied Physics
deribatu,derivar,Economic Sciences > Econometrics
deribatu,derivada,Mathematics > Analysis and functional analysis
deribatu, derivar,Mathematics > Analysis and functional analysis
deribatu,derivada,Technological Sciences > Environmental technology and engineering
desbiderapen estandar,desviación estándar,Physics > Thermodynamics
desbiderapen estandar,desviación estándar,Technological Sciences > Telecommunications technology
desbiderapen estandar, desviación típica,Technological Sciences > Telecommunications technology
desbiderapen estandar,desviación típica,Mathematics > Statistics
desbideratze estandar,desviación típica,Mathematics > Statistics
desbideratze estandar,coeficiente de dispersión,Technological Sciences > Environmental technology and engineering
desbideratze estandar, desviación estándar,Technological Sciences > Environmental technology and engineering
desbideratze estandar, desviación normal,Technological Sciences > Environmental technology and engineering
desbideratze estandar,desviación estándar,Life sciences > Biochemistry and Molecular Biology
desbideratze estandar,desviación estándar,Medical Sciences > Pharmaceutical Technology
desbiderazio,desviación,Economic Sciences > Econometrics
desbiderazio,derivatización,Chemistry > Analytical chemistry
desgaitasun,incapacidad,Juridical Sciences & Law > Civil law
desgaitasun,discapacidad,Juridical Sciences & Law > Labour and Social Security law
deshidratatu,deshidratar,Life sciences > Microbiology
deshidratatu,deshidratar,Technological Sciences > Environmental technology and engineering
deshidratatu,deshidratación,Technological Sciences > Food technology
desintegrazio erradioaktibo,desintegración radioactiva,Life sciences > Biochemistry and Molecular Biology
desintegrazio erradioaktibo,desintegración radiactiva,Medical Sciences > Medical diagnostic and Treatment Technology
desintegrazio erradioaktibo,desintegración radiactiva,Physics > Mechanics
desintegrazio erradioaktibo, desintegración radioactiva,Physics > Mechanics
desintegrazio erradioaktibo,desintegración nuclear,Physics > General Physics specialities
desjabetu,expropiar,Juridical Sciences & Law > Administrative law
desjabetu,expropiar,Technological Sciences > Projects
desjabetu,desposeer,Juridical Sciences & Law > Constitutional law
deuseztapen,nulidad,Juridical Sciences & Law > Procedural law
deuseztapen,nulidad,Juridical Sciences & Law > Law Philosophy
deuseztapen,anulación,Juridical Sciences & Law > Finance law
deuseztapen,cancelación,Physics > Electro-magnetism
deuseztasun,nulidad,Juridical Sciences & Law > Administrative law
deuseztasun,nulidad,Juridical Sciences & Law > Labour and Social Security law
deuseztasun,nulidad,Education sciences
deuseztasun,nulidad,Juridical Sciences & Law > Constitutional law
deuseztasun,declaración de nulidad de pleno derecho,Juridical Sciences & Law > Finance law
deuseztasun,nulidad,Juridical Sciences & Law > Law Philosophy
deuseztatze,nulidad,Juridical Sciences & Law > Procedural law
deuseztatze,anulación,Juridical Sciences & Law > Constitutional law
digestio-hodi,tubo digestivo,Life sciences > Animal Biology
digestio-hodi,tracto gastrointestinal,Medical Sciences > Microbiology
diru,cantidad de dinero,Economic Sciences > Economic theory
diru, dinero,Economic Sciences > Economic theory
diru,dinero,Economic Sciences > General economics
diru,cantidad,Juridical Sciences & Law > Roman law
diru, pecunia,Juridical Sciences & Law > Roman law
diru,dinero,Economic Sciences > Organization and management of enterprises
diru, moneda,Economic Sciences > Organization and management of enterprises
diru-fluxu,flujo monetario,Economic Sciences > General economics
diru-fluxu,cash-flow,Economic Sciences > Financial Accounting
diru-fluxu, flujo de caja,Economic Sciences > Financial Accounting
diru-fluxu, flujo de efectivo,Economic Sciences > Financial Accounting
diru-laguntza,subvención,Juridical Sciences & Law > Finance law
diru-laguntza,subsidio,Economic Sciences > Economic theory
diru-laguntza,ayuda económica,Technological Sciences > Projects
diru-laguntza, subvención,Technological Sciences > Projects
diru-laguntza,ayuda económica,Juridical Sciences & Law > Labour and Social Security law
diru-laguntza, prestación económica,Juridical Sciences & Law > Labour and Social Security law
diru-laguntza,ayuda monetaria,Economic Sciences > General economics
diru-sarrera,ingreso,Economic Sciences > Organization and management of enterprises
diru-sarrera,ingreso,Economic Sciences > General economics
diru-sarrera,ingreso pecuniario,Juridical Sciences & Law > Finance law
diskriminazio,discriminación,Juridical Sciences & Law > Criminal law
diskriminazio,diskriminazio,Juridical Sciences & Law > Law Philosophy
diskriminazio,discriminación,Juridical Sciences & Law > Constitutional law
diskriminazio,discriminación,Juridical Sciences & Law > Canon law
distortsio,distorsión,Medical Sciences > Medical diagnostic and Treatment Technology
distortsio,distortion,Physics > Electro-magnetism
distortsio,distorsión,Technological Sciences > Telecommunications technology
distortsio,distorsión,Technological Sciences > Environmental technology and engineering
distortsio,distorsión,Technological Sciences > Construction technology
DNA molekula,molécula de ADN,Life sciences > Biochemistry and Molecular Biology
DNA molekula,ácido desoxirribonucleico,Life sciences > Cell biology
DNA molekula, ADN,Life sciences > Cell biology
DNA-sekuentzia,secuencia de ADN,Life sciences > Biochemistry and Molecular Biology
DNA-sekuentzia,secuencia,Life sciences > Cell biology
doako justizia,justicia gratuita,Juridical Sciences & Law > Labour and Social Security law
doako justizia,asistencia jurídica gratuita,Juridical Sciences & Law > Procedural law
doikuntza,ajuste,Technological Sciences > Construction technology
doikuntza,ajuste,Economic Sciences > Econometrics
doikuntza,ajuste,Chemistry > Physical chemistry
doikuntza,ajuste,Mathematics > Statistics
doikuntza,provisión,Juridical Sciences & Law > Finance law
doikuntza,ajuste,Technological Sciences > Electrical technology and engineering
doikuntza,ajuste,Medical Sciences > Pharmaceutical Technology
doikuntza,ajuste,Juridical Sciences & Law > Canon law
doikuntza,ajuste,Technological Sciences > Industrial technology
doikuntza,ajuste,Technological Sciences > Mechanical engineering and technology
dosi eraginkor,dosis efectiva,Medical Sciences > Medical diagnostic and Treatment Technology
dosi eraginkor,dosis eficaz,Medical Sciences > Pharmacology
dosi eraginkor,dosis efectiva,Chemistry > Organic chemistry
dosi eraginkor, dosis eficaz,Chemistry > Organic chemistry
E bitamina,Vitamina E,Medical Sciences > Pharmacology
E bitamina,vitamina E,Life sciences > Biochemistry and Molecular Biology
ebaketa,intersección,Mathematics > Analysis and functional analysis
ebaketa,bisección,Technological Sciences > Construction technology
ebaketa, intersección directa,Technological Sciences > Construction technology
ebaketa,corte,Technological Sciences > Projects
ebaketa, sección,Technological Sciences > Projects
ebaketa,intersección,Mathematics > Algebra
ebaki,seccionar,Technological Sciences > Mechanical engineering and technology
ebaki,corte,Life sciences > Cell biology
ebakidura,conjunto intersección,Mathematics > Analysis and functional analysis
ebakidura, intersección,Mathematics > Analysis and functional analysis
ebakidura,intersección,Mathematics > Statistics
ebakidura,intersección,Mathematics > Topology
ebakidura,corte,Physics > Electro-magnetism
ebakidura, intersección,Physics > Electro-magnetism
ebakidura, sección,Physics > Electro-magnetism
ebakidura,corte,Technological Sciences > Projects
ebakidura, sección,Technological Sciences > Projects
ebakidura,corte,Technological Sciences > Industrial technology
ebakidura,sección,Technological Sciences > Construction technology
ebakidura,intersección,Mathematics > Algebra
ebakidura,intersección,Technological Sciences > Electronic technology
ebakidura-esfortzu,tensión de cizalladura,Physics > Mechanics
ebakidura-esfortzu, tensión de cortadura,Physics > Mechanics
ebakidura-esfortzu, tensión tangencial,Physics > Mechanics
ebakidura-esfortzu,esfuerzo cortante,Technological Sciences > Construction technology
ebakidura-esfortzu,tensión de cortadura,Physics > Fluids (physics of)
ebaluaketa,evaluación,Medical Sciences > Pharmacology
ebaluaketa,evaluación social,Education sciences
EBT,Tratado de la Unión Europea,Juridical Sciences & Law > European Union law
EBT, TUE,Juridical Sciences & Law > European Union law
EBT,tasa interna de rendimiento,Technological Sciences > Projects
EBT, TIR,Technological Sciences > Projects
edukiera,capacidad,Technological Sciences > Computer technology
edukiera,contenido,Juridical Sciences & Law > Law Philosophy
edukiera, intensión,Juridical Sciences & Law > Law Philosophy
edukiera,capacidad,Medical Sciences > Pharmaceutical Technology
edukitzaile,poseedor,Juridical Sciences & Law > Roman law
edukitzaile,poseedor,Economic Sciences > Economic accounting
edukitzaile, tenedor,Economic Sciences > Economic accounting
edukitzaile,poseedor ,Juridical Sciences & Law > Civil law
edukitzaile, poseedora,Juridical Sciences & Law > Civil law
EE,CE,Juridical Sciences & Law > European Union law
EE, Comunidad Europea,Juridical Sciences & Law > European Union law
EE,RE,Life sciences > Cell biology
EE, retículo endoplasmático,Life sciences > Cell biology
efikazia,eficacia,Medical Sciences > Pharmacology
efikazia,eficacia,Life sciences > Biochemistry and Molecular Biology
efikazia,eficacia,Juridical Sciences & Law > Administrative law
efikazia,eficaz,Juridical Sciences & Law > Civil law
egiazko balio,valor real,Juridical Sciences & Law > Finance law
egiazko balio,valor verdadero,Technological Sciences > Construction technology
egiazko balio,valor verdadero,Technological Sciences > Computer technology
egiazkotasun,veracidad,Juridical Sciences & Law > Civil law
egiazkotasun,autenticidad,Juridical Sciences & Law > Law Philosophy
egiaztapen,verificación,Technological Sciences > Computer technology
egiaztapen, validación,Technological Sciences > Computer technology
egiaztapen,comprobación,Juridical Sciences & Law > Administrative law
egiaztapen,comprobación,Juridical Sciences & Law > Finance law
egiaztapen, verificación,Juridical Sciences & Law > Finance law
egiaztatu,verificar,Mathematics > Analysis and functional analysis
egiaztatu,acreditar,Juridical Sciences & Law > Finance law
egiaztatu, comprobar,Juridical Sciences & Law > Finance law
egiaztatu,certificar,Juridical Sciences & Law > Constitutional law
egiaztatu,verificar,Juridical Sciences & Law > Labour and Social Security law
egiaztatu,certificar,Juridical Sciences & Law > Law Philosophy
egiaztatu, verificar,Juridical Sciences & Law > Law Philosophy
egikaritu,ejecutar,Technological Sciences > Computer technology
egikaritu,ejercer,Juridical Sciences & Law > Procedural law
egikaritu,cumplir,Juridical Sciences & Law > Law Philosophy
egikaritu, ejecutar,Juridical Sciences & Law > Law Philosophy
egile,actor,Juridical Sciences & Law > Constitutional law
egile,ejecutor,Juridical Sciences & Law > Roman law
egile,autor,Juridical Sciences & Law > Criminal law
eginbehar,deber,Juridical Sciences & Law > Constitutional law
eginbehar, exigencia,Juridical Sciences & Law > Constitutional law
eginbehar, necesidad,Juridical Sciences & Law > Constitutional law
eginbehar, obligación,Juridical Sciences & Law > Constitutional law
eginbehar,obligación,Juridical Sciences & Law > Law Philosophy
eginbehar,deber,Juridical Sciences & Law > Administrative law
eginbehar, deber público,Juridical Sciences & Law > Administrative law
eginbide,deber,Juridical Sciences & Law > Constitutional law
eginbide, exigencia,Juridical Sciences & Law > Constitutional law
eginbide, necesidad,Juridical Sciences & Law > Constitutional law
eginbide, obligación,Juridical Sciences & Law > Constitutional law
eginbide,diligencia,Juridical Sciences & Law > Administrative law
eginbide,diligencia,Juridical Sciences & Law > Procedural law
eginkizun,función,Education sciences
eginkizun, tarea,Education sciences
eginkizun,función,Juridical Sciences & Law > Constitutional law
eginkizun, tarea,Juridical Sciences & Law > Constitutional law
eginkizun,función,Juridical Sciences & Law > Administrative law
eginkizun,tarea,Economic Sciences > Organization and management of enterprises
egintza,acto,Juridical Sciences & Law > Civil law
egintza,acto,Juridical Sciences & Law > Procedural law
egintza,acto,Juridical Sciences & Law > Administrative law
egintza, acto administrativo,Juridical Sciences & Law > Administrative law
egintza,acción,Juridical Sciences & Law > Labour and Social Security law
egitate,acción,Juridical Sciences & Law > Constitutional law
egitate, acto,Juridical Sciences & Law > Constitutional law
egitate,veracidad,Juridical Sciences & Law > Labour and Social Security law
egitate,hecho,Juridical Sciences & Law > Finance law
egitate,hecho,Juridical Sciences & Law > Law Philosophy
egitate juridiko,hecho jurídico,Juridical Sciences & Law > Civil law
egitate juridiko,situación de derecho,Juridical Sciences & Law > Roman law
egitura,estructura,Education sciences
egitura,estructura,Mathematics > Algebra
egitura,estructura,Physics > Electro-magnetism
egitura,estructura,Medical Sciences > Pharmacology
egitura,estructura,Technological Sciences > Environmental technology and engineering
egitura,estructura,Technological Sciences > Projects
egitura,estructura,Juridical Sciences & Law > Law Philosophy
egitura,estructura,Juridical Sciences & Law > Constitutional law
egitura,estructura,Technological Sciences > Electrical technology and engineering
egitura,formato,Technological Sciences > Instrumentation technology
egitura,estructura,Technological Sciences > Construction technology
egitura,estructura,Medical Sciences > Pharmaceutical Technology
egoera,estado,Physics > Electro-magnetism
egoera,estado,Medical Sciences > Pharmacology
egoera,situación,Education sciences
egoera,estado,Technological Sciences > Computer technology
egoera,estado,Mathematics > Statistics
egoera,situación,Juridical Sciences & Law > Administrative law
egoera, situación administrativa,Juridical Sciences & Law > Administrative law
egoera,estado,Physics > General Physics specialities
egoera,estado,Chemistry > Physical chemistry
egoera,estado,Technological Sciences > Instrumentation technology
egoera,estado,Physics > Theoretical physics
egoera,situación,Juridical Sciences & Law > Constitutional law
egoera egonkor,estado estable,Physics > Theoretical physics
egoera egonkor,estado permanente,Technological Sciences > Electrical technology and engineering
