english,basque,context
data sheet,datu-fitxa,Technological Sciences > Mechanical engineering and technology
data transmission,datu-igorpen,Technological Sciences > Computer technology
data transmission,datu-transmisio,Technological Sciences > Telecommunications technology
database,datu-base,Technological Sciences > Computer technology
database,datu-base,Mathematics > Statistics
database,datu-basea,Technological Sciences > Electronic technology
database,datu-base,Technological Sciences > Projects
database,datu-base; datu-biltegi,Life sciences > Biochemistry and Molecular Biology
database,datu-base,Technological Sciences > Environmental technology and engineering
database,datu-base,Economic Sciences > Econometrics
datum,datu,Chemistry > Physical chemistry
datum,datu,Mathematics > Analysis and functional analysis
datum,datu; datu informatiko,Technological Sciences > Telecommunications technology
datum,erreferentzia-elementu,Technological Sciences > Mechanical engineering and technology
deadline,data limite; muga-eguna,Technological Sciences > Projects
deadline,epe,Medical Sciences > Pharmacology
decay,desintegrazio,Physics > Mechanics
decay,beherakortasun,Mathematics > Analysis and functional analysis
decay rate,aktibitate,Physics > General Physics specialities
decay rate,desintegrazio-abiadura,Life sciences > Biochemistry and Molecular Biology
decomposition,degradazio; deskonposatze; deskonposizio; hondaketa,Technological Sciences > Environmental technology and engineering
decomposition,deskonposaketa,Mathematics > Analysis and functional analysis
decomposition,deskonposizio,Technological Sciences > Food technology
decomposition,deskonposaketa; deskonposizio,Technological Sciences > Chemical technology and engineering
decomposition,deskonposizio,Medical Sciences > Pharmaceutical Technology
decomposition,deskonposaketa,Physics > Electro-magnetism
decomposition,deskonposizio,Mathematics > Algebra
decomposition,deskonposaketa,Technological Sciences > Telecommunications technology
decomposition,deskonposizio,Life sciences > Microbiology
decrease,jaitsiera,Medical Sciences > Pharmaceutical Technology
decrease,beherakortasun,Mathematics > Analysis and functional analysis
deduction,kenkari,Technological Sciences > Projects
deduction,kenkari,Economic Sciences > General economics
deduction,atxikipen; erretentzio,Economic Sciences > Organization and management of enterprises
deflator,deflaktore,Economic Sciences > General economics
deflator,deflaktatzaile,Economic Sciences > Economic theory
degree,maila,Mathematics > Analysis and functional analysis
degree,gradu,Chemistry > Physical chemistry
degree,gradu; °,Physics > General Physics specialities
degree,gradu,Medical Sciences > Pharmaceutical Technology
degree,gradu,Physics > Electro-magnetism
degree,maila,Mathematics > Algebra
degree,gradu; maila,Medical Sciences > Pharmacology
dehydration,deshidratazio,Technological Sciences > Environmental technology and engineering
dehydration,deshidratatu,Technological Sciences > Food technology
dehydration,deshidratazio,Life sciences > Microbiology
dehydration,deshidratazio,Technological Sciences > Chemical technology and engineering
dehydration,deshidratazio,Medical Sciences > Pharmacology
dehydration,deshidratazio,Chemistry > Organic chemistry
dehydration,deshidratazio,Life sciences > Cell biology
delay,atzerapen,Technological Sciences > Projects
delay,atzerapen,Physics > Electro-magnetism
delay,atzerapen,Technological Sciences > Telecommunications technology
delay,atzerapen,Medical Sciences > Pharmacology
delay,atzerapen-denbora,Technological Sciences > Computer technology
delay,atzerapen,Technological Sciences > Instrumentation technology
delta,delta,Technological Sciences > Environmental technology and engineering
delta,delta,Earth and Space Sciences > Geology
delta,triangelu,Technological Sciences > Electrical technology and engineering
dependence,menpekotasun,Physics > General Physics specialities
dependence,menpekotasun,Mathematics > Statistics
dependence,menpekotasun,Medical Sciences > Pharmacology
dependence,dependentzia,Economic Sciences > Econometrics
dependence,menpekotasun,Mathematics > Analysis and functional analysis
dependence,mendetasun,Medical Sciences > Pharmaceutical Technology
dependence,mendekotasun,Physics > Theoretical physics
dependent variable,mendeko aldagai,Technological Sciences > Telecommunications technology
dependent variable,menpeko aldagai,Physics > General Physics specialities
dependent variable,mendeko aldagai; menpeko aldagai,Mathematics > Statistics
dependent variable,aldagai dependente; mendeko aldagai; menpeko aldagai,Mathematics > Analysis and functional analysis
dependent variable,aldagai dependente,Economic Sciences > Econometrics
dependent variable,aldagai dependente,Life sciences > Biochemistry and Molecular Biology
deposit,gordailu,Economic Sciences > Economic theory
deposit,metakin,Earth and Space Sciences > Geology
deposit,gordailu,Economic Sciences > Organization and management of enterprises
deposition,deposizio; jalkiera,Technological Sciences > Environmental technology and engineering
deposition,metaketa,Earth and Space Sciences > Geology
depreciation,amortizazio,Economic Sciences > Organization and management of enterprises
depreciation,balio-galera; depreziazio; desbalorizazio,Technological Sciences > Projects
depreciation,amortizazio; balio-galera; BG,Economic Sciences > General economics
depreciation,balio-galera; depreziazio,Economic Sciences > Economic theory
destruction,suntsipen,Technological Sciences > Environmental technology and engineering
destruction,hondamen,Medical Sciences > Pharmacology
destructive distillation,destilazio suntsikor,Technological Sciences > Environmental technology and engineering
destructive distillation,destilazio lehor; suntsitze-destilazio,Technological Sciences > Chemical technology and engineering
determination,zehaztapen,Technological Sciences > Environmental technology and engineering
determination,determinazio,Chemistry > Analytical chemistry
deviation,desbiderapen; desbideratze,Mathematics > Statistics
deviation,desbideraketa,Physics > Optics
deviation,debidazio; desbiderapen,Physics > Thermodynamics
device,gailu; tresna,Physics > Aplied Physics
device,dispositibo,Physics > Electro-magnetism
device,gailu,Technological Sciences > Telecommunications technology
device,dispositibo,Technological Sciences > Environmental technology and engineering
device,aparatu; gailu; tresna,Technological Sciences > Electrical technology and engineering
device,gailu; tresna,Technological Sciences > Instrumentation technology
device,gailu,Technological Sciences > Computer technology
device,dispositibo; gailu,Technological Sciences > Electronic technology
diagnosis,diagnostiko,Medical Sciences > Medical diagnostic and Treatment Technology
diagnosis,diagnostiko,Medical Sciences > Pharmacology
diagnosis,diagnosi,Technological Sciences > Environmental technology and engineering
diagram,diagrama,Mathematics > Analysis and functional analysis
diagram,diagrama,Technological Sciences > Construction technology
diagram,diagrama,Medical Sciences > Pharmaceutical Technology
diagram,diagrama; eskema,Technological Sciences > Electrical technology and engineering
diagram,eskema,Technological Sciences > Telecommunications technology
diagram,diagrama,Physics > Electro-magnetism
diagram,diagrama,Technological Sciences > Computer technology
dielectric loss,dielektrikoaren ondoriozko galera,Physics > Electro-magnetism
dielectric loss,galera dielektriko,Technological Sciences > Electrical technology and engineering
diet,dieta,Life sciences > Animal Biology
diet,elikadura,Technological Sciences > Food technology
diet,elikadura,Medical Sciences > Pharmacology
difference,diferentzia,Technological Sciences > Telecommunications technology
difference,diferentzia,Mathematics > Algebra
difference,ezberdintasun,Medical Sciences > Pharmacology
difference,diferentzia; kendura,Mathematics > Analysis and functional analysis
difference,ezberdintasun; kendura,Mathematics > Statistics
digestive system,digestio-aparatu,Medical Sciences > Pharmacology
digestive system,digestio-sistema; liseri-sistema,Life sciences > Animal Biology
dimension,kota; dimentsio,Technological Sciences > Industrial technology
dimension,kotatu,Technological Sciences > Mechanical engineering and technology
dimension,dimentsio,Physics > Theoretical physics
dimension,dimentsio,Technological Sciences > Construction technology
dimension,dimentsio,Physics > Mechanics
dimension,kota,Technological Sciences > Projects
dimension,dimentsio,Mathematics > Analysis and functional analysis
dimension,dimentsio,Physics > General Physics specialities
dimension,dimentsio,Chemistry > Physical chemistry
dimension,dimentsio,Physics > Electro-magnetism
dimension,dimentsio,Mathematics > Algebra
dimensional analysis,analisi dimentsional,Physics > Fluids (physics of)
dimensional analysis,dimentsio-analisi,Physics > General Physics specialities
dimensioning,akotazio; kotatze,Technological Sciences > Industrial technology
dimensioning,dimentsionamendu,Technological Sciences > Construction technology
discontinuity,eten-puntu; etengune; etenune,Mathematics > Analysis and functional analysis
discontinuity,desjarraitasun; etenune,Physics > Electro-magnetism
discontinuity,desjarraitutasun; eten,Technological Sciences > Electrical technology and engineering
discontinuity,etenune,Technological Sciences > Environmental technology and engineering
disorder,desordena,Physics > Thermodynamics
disorder,asaldura,Medical Sciences > Pharmacology
dissipated power,potentzia xahutu,Physics > Electro-magnetism
dissipated power,potentzia barreiatu,Technological Sciences > Electrical technology and engineering
distillation,destilazio; distilazio,Technological Sciences > Environmental technology and engineering
distillation,destilazio,Technological Sciences > Chemical technology and engineering
distillation,distilazio,Chemistry > Analytical chemistry
distillation,destilazio,Chemistry > Organic chemistry
distributive property,banatze-propietate,Physics > Electro-magnetism
distributive property,banaketa-propietate,Technological Sciences > Computer technology
distributive property,propietate banakor,Mathematics > Algebra
disturbance,perturbazio,Technological Sciences > Telecommunications technology
disturbance,perturbazio,Physics > Electro-magnetism
disturbance,asaldura,Medical Sciences > Medical diagnostic and Treatment Technology
ditch,lubanarro,Technological Sciences > Projects
ditch,lubaki; zanga,Technological Sciences > Environmental technology and engineering
ditch,zanga; areka,Technological Sciences > Mechanical engineering and technology
divergent boundary,muga dibergente,Earth and Space Sciences > Geology
divergent boundary,ertz dibergente,Technological Sciences > Environmental technology and engineering
DNA sequence,DNAren sekuentzia,Chemistry > Organic chemistry
DNA sequence,DNA-sekuentzia,Life sciences > Biochemistry and Molecular Biology
domain,eremu,Mathematics > Analysis and functional analysis
domain,eremu,Technological Sciences > Telecommunications technology
domain,domeinu,Medical Sciences > Microbiology
domain,barruti; domeinu,Technological Sciences > Computer technology
domain,domeinu; eremu,Mathematics > Algebra
domain,domeinu,Life sciences > Biochemistry and Molecular Biology
domestic demand,eskari nazional,Economic Sciences > Economic theory
domestic demand,barne-eskari,Economic Sciences > General economics
drainage,drainadura,Medical Sciences > Pathology
drainage,drainatze,Technological Sciences > Environmental technology and engineering
draw,marraztu,Technological Sciences > Mechanical engineering and technology
draw,irudigintza; marrazketa,Technological Sciences > Projects
draw,marraztu,Technological Sciences > Industrial technology
drawing,marrazki,Technological Sciences > Projects
drawing,plano; marrazketa,Technological Sciences > Mechanical engineering and technology
drawing,marrazki,Technological Sciences > Industrial technology
drift,desbiderapen,Technological Sciences > Projects
drift,deriba; jito,Physics > Electro-magnetism
drilling,zulaketa,Technological Sciences > Mechanical engineering and technology
drilling,barrenaketa; hustuketa,Technological Sciences > Industrial technology
drum,bidoi; bonbo,Medical Sciences > Pharmaceutical Technology
drum,danbor,Economic Sciences > Organization and management of enterprises
drum,danbor,Technological Sciences > Food technology
duct,hodi,Physics > Fluids (physics of)
duct,hodi,Technological Sciences > Mechanical engineering and technology
duct,hodi; tutu,Technological Sciences > Electrical technology and engineering
duct,eroanbide,Technological Sciences > Environmental technology and engineering
duct,hodi,Technological Sciences > Electronic technology
ductile deformation,deformazio moldakor,Earth and Space Sciences > Geology
ductile deformation,deformazio duktil,Technological Sciences > Environmental technology and engineering
dye,koloratzaile,Life sciences > Biochemistry and Molecular Biology
dye,koloratzaile,Technological Sciences > Environmental technology and engineering
dye,koloratzaile; tindatzaile,Life sciences > Microbiology
dye,koloragarri; koloregai,Chemistry > Organic chemistry
dye,tindagai; tindatzaile,Medical Sciences > Microbiology
ear,belarri,Life sciences > Animal Biology
ear,entzumen,Medical Sciences > Pharmacology
earth,ground; lur,Technological Sciences > Electronic technology
earth,lur,Technological Sciences > Projects
earth,masa; parte eroale irisgarri,Technological Sciences > Electrical technology and engineering
economic cycle,ziklo ekonomiko,Economic Sciences > General economics
economic cycle,ekonomia-ziklo,Economic Sciences > Organization and management of enterprises
eddy current,korronte parasito,Technological Sciences > Electrical technology and engineering
eddy current,Foulcaul-ten korronteak; korronte parasitoak,Physics > Electro-magnetism
EF,arriskuaren frakzio etiologiko; FER,Medical Sciences > Public health
EF,amaiera goiztiar,Technological Sciences > Projects
effective area,azalera eraginkor,Physics > Electro-magnetism
effective area,gainazal efektibo,Physics > Aplied Physics
effective area,azalera eraginkor,Technological Sciences > Telecommunications technology
effectiveness,eraginkortasun,Technological Sciences > Environmental technology and engineering
effectiveness,efikazia; eraginkortasun,Life sciences > Biochemistry and Molecular Biology
effectiveness,efektibitate,Medical Sciences > Pharmacology
effector,eragile,Life sciences > Biochemistry and Molecular Biology
effector,efektore,Life sciences > Human physiology
effector,efektore,Life sciences > Animal Biology
efficiency,eraginkortasun,Technological Sciences > Instrumentation technology
efficiency,errendimendu,Technological Sciences > Electrical technology and engineering
efficiency,eraginkortasun,Medical Sciences > Pharmaceutical Technology
efficiency,eraginkortasun,Technological Sciences > Telecommunications technology
efficiency,eraginkortasun,Economic Sciences > General economics
efficiency,efizientzia,Technological Sciences > Projects
efficiency,eraginkortasun,Physics > Electro-magnetism
efficiency,eraginkortasun,Physics > Fluids (physics of)
efficiency,eraginkortasun,Technological Sciences > Computer technology
efficiency,eraginkortasun,Chemistry > Analytical chemistry
efficiency,efizientzia,Medical Sciences > Pharmacology
efficiency,efizientzia; eraginkortasun,Economic Sciences > Organization and management of enterprises
efficiency,eraginkortasun,Mathematics > Statistics
efficiency,eraginkortasun; errendimendu; etekin,Technological Sciences > Environmental technology and engineering
efficiency,efizientzia; etekin,Life sciences > Animal Biology
eigenvector,bektore propio,Physics > General Physics specialities
eigenvector,autobektore; bektore propio,Mathematics > Analysis and functional analysis
eigenvector,bektore propio; eigenbektore,Physics > Theoretical physics
eigenvector,autobektore,Physics > Thermodynamics
elastic limit,limite elastiko,Physics > Aplied Physics
elastic limit,elastizitate-muga,Earth and Space Sciences > Geology
elastic modulus,elastizitate-modulu,Earth and Space Sciences > Geology
elastic modulus,elastikotasun-modulu,Physics > Fluids (physics of)
electric cell,pila elektriko,Physics > Aplied Physics
electric cell,pila; pila elektrokimiko; pila voltaiko,Technological Sciences > Electronic technology
electric power,potentzia elektriko,Physics > Electro-magnetism
electric power,energia elektriko,Technological Sciences > Electronic technology
electric power,energia elektriko; potentzia elektriko,Technological Sciences > Electrical technology and engineering
element,osagai,Technological Sciences > Electrical technology and engineering
element,elementu,Mathematics > Algebra
element,elementu,Technological Sciences > Computer technology
element,elementu,Physics > General Physics specialities
element,elementu,Technological Sciences > Environmental technology and engineering
element,elementu,Mathematics > Statistics
element,elementu,Mathematics > Analysis and functional analysis
element,elementu,Economic Sciences > Organization and management of enterprises
element,elementu,Technological Sciences > Projects
element,elementu,Technological Sciences > Construction technology
elevation,altitude,Technological Sciences > Environmental technology and engineering
elevation,kota,Physics > Fluids (physics of)
elevation,altxaera; aurretiko bista,Technological Sciences > Projects
elimination,kanporaketa,Medical Sciences > Pharmacology
elimination,ezabatze,Technological Sciences > Telecommunications technology
elimination,eliminazio; ezabaketa; ezabapen; kentze,Technological Sciences > Environmental technology and engineering
eluent,eluitzaile,Chemistry > Organic chemistry
eluent,eluente,Life sciences > Biochemistry and Molecular Biology
emission intensity,emisioaren intentsitate,Chemistry > Analytical chemistry
emission intensity,emisio-intentsitate; isurpen-intentsitate,Technological Sciences > Environmental technology and engineering
emitter,igorle,Physics > Electro-magnetism
emitter,igorle,Physics > Aplied Physics
emitter,igorle,Technological Sciences > Electronic technology
emitter,igorgailu,Physics > General Physics specialities
emitter,igorle; transmisore,Technological Sciences > Telecommunications technology
emitter,igorle; iturburu; iturri; sorburu,Technological Sciences > Environmental technology and engineering
endless screw,amaigabeko torloju; Arkimedes-en torloju,Technological Sciences > Environmental technology and engineering
endless screw,torloju amaigabe,Technological Sciences > Chemical technology and engineering
endogenous substance,gai endogeno,Life sciences > Human physiology
endogenous substance,substantzia endogeno,Chemistry > Organic chemistry
endorse,ikus-onetsi; oniritzia eman,Technological Sciences > Projects
endorse,endosatu,Economic Sciences > Organization and management of enterprises
energy balance,balantze energetiko; energia-balantze,Technological Sciences > Environmental technology and engineering
energy balance,energia-balantze,Life sciences > Animal Biology
energy balance,energia-balantze,Technological Sciences > Electrical technology and engineering
energy balance,balantze energetiko,Technological Sciences > Telecommunications technology
energy balance,balantze energetiko,Physics > Electro-magnetism
entrance,sarbide,Medical Sciences > Pharmaceutical Technology
entrance,atari,Technological Sciences > Projects
envelope,geruza,Medical Sciences > Microbiology
envelope,bilgarri; geruza,Life sciences > Microbiology
envelope,inguratzaile; uhinaren inguratzaile,Technological Sciences > Telecommunications technology
environment,ingurumen,Life sciences > Animal Biology
environment,ingurugiro; ingurumen; ingurune,Technological Sciences > Environmental technology and engineering
environment,ingurugiro; ingurumen,Chemistry > Physical chemistry
environment,ingurune,Technological Sciences > Computer technology
environment,Ingurumen,Technological Sciences > Electronic technology
environment,ingurumen,Life sciences > Microbiology
environment,ingurumen,Life sciences > Cell biology
environment,ingurumen,Technological Sciences > Projects
epidemic outbreak,agerraldi epidemiko,Life sciences > Microbiology
epidemic outbreak,epidemia; izurrite,Medical Sciences > Microbiology
epithelial cell,epitelio-zelula; epitelioko zelula,Life sciences > Cell biology
epithelial cell,azaleko zelula,Chemistry > Organic chemistry
equality,berdintza,Mathematics > Algebra
equality,berdintasun,Mathematics > Statistics
equality,berdinketa; berdintasun; berdintza,Mathematics > Analysis and functional analysis
equalization,ekualizazio,Technological Sciences > Telecommunications technology
equalization,homogeneizatze; homogeneizazio,Technological Sciences > Environmental technology and engineering
equation of motion,higidura-ekuazio,Physics > Thermodynamics
equation of motion,higiduraren ekuazio,Physics > Mechanics
equation of motion,higidura-ekuazio,Physics > Theoretical physics
equation of motion,higidura-ekuazio,Physics > General Physics specialities
equipment,ekipamendu,Technological Sciences > Telecommunications technology
equipment,ibilgetu material,Economic Sciences > General economics
equipment,ekipamendu,Technological Sciences > Projects
equipment,tresna,Chemistry > Physical chemistry
equipment,ekipo,Technological Sciences > Instrumentation technology
equivalence,baliokidetasun,Technological Sciences > Construction technology
equivalence,baliokidetasun,Physics > Thermodynamics
equivalence,baliokidetasun,Technological Sciences > Electrical technology and engineering
equivalence,baliokidetza; baliokidetasun,Mathematics > Analysis and functional analysis
equivalence,baliokidetasun,Mathematics > Algebra
equivalence,baliokidetza,Chemistry > Analytical chemistry
error,errore,Mathematics > Analysis and functional analysis
error,errore,Chemistry > Analytical chemistry
error,akats; errore,Technological Sciences > Computer technology
error,errore,Physics > General Physics specialities
error,errore,Mathematics > Statistics
error,errore,Technological Sciences > Telecommunications technology
error,errore,Technological Sciences > Instrumentation technology
error,akats; huts,Medical Sciences > Pharmacology
erythropoietin,eritropoietina hormona,Life sciences > Human physiology
erythropoietin,eritropoietina,Life sciences > Cell biology
esophagus,hestegorri,Medical Sciences > Pharmacology
esophagus,esofago,Life sciences > Cell biology
etiological agent,eragile etiologiko,Medical Sciences > Microbiology
etiological agent,agente etiologiko,Life sciences > Microbiology
Euclidean space,espazio euklidear,Mathematics > Topology
Euclidean space,espazio-euklidestar,Mathematics > Algebra
Euler's equation,Euler-en ekuazio,Mathematics > Analysis and functional analysis
Euler's equation,Eulerren ekuazio,Physics > Fluids (physics of)
Euler's equation,Euler-en formula,Technological Sciences > Electrical technology and engineering
evaluation,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
evaluation,ebaluaketa,Medical Sciences > Pharmacology
evaluation,azterketa; ebaluazio; miaketa,Medical Sciences > Dentistry
evaluation,ebaluazio,Life sciences > Cell biology
evaluation,ebaluazio,Technological Sciences > Projects
evaporation,lurrunketa,Medical Sciences > Pharmaceutical Technology
evaporation,lurrunketa,Chemistry > Analytical chemistry
evaporation,ebaporazio; lurrunketa; lurruntze,Technological Sciences > Environmental technology and engineering
evaporation,ebaporazio,Life sciences > Cell biology
evaporation,lurruntze,Earth and Space Sciences > Metereology and Oceanography
evolution,eboluzio,Technological Sciences > Environmental technology and engineering
evolution,eboluzio,Life sciences > Biochemistry and Molecular Biology
evolution,eboluzio,Physics > Theoretical physics
evolution,erroketa,Mathematics > Analysis and functional analysis
evolution,aurreratze,Medical Sciences > Pharmacology
exchange,truke,Chemistry > Analytical chemistry
exchange,elkartruke; truke; kanbio,Economic Sciences > Economic theory
exchange,truke,Physics > Thermodynamics
exchange,truke,Economic Sciences > Organization and management of enterprises
exchange,elkartrukatu,Technological Sciences > Environmental technology and engineering
exchange rate,kanbio-tasa,Economic Sciences > Economic theory
exchange rate,kanbio-tasa,Economic Sciences > General economics
exchange rate,trukatze-abiadura,Chemistry > Organic chemistry
excitation,kitzikapen,Physics > Electro-magnetism
excitation,eszitazio,Medical Sciences > Medical diagnostic and Treatment Technology
excitation,kitzikapen,Chemistry > Analytical chemistry
excitation,eszitazio; kitzikapen,Technological Sciences > Electrical technology and engineering
excitation,kitzikapen,Physics > General Physics specialities
excitation,kitzikapen,Life sciences > Animal Biology
excretory organ,iraizpen-organo; iraizpenerako organo,Life sciences > Animal Biology
excretory organ,iraitz-organo,Life sciences > Human physiology
execution,egikaritze; gauzatze,Technological Sciences > Projects
execution,exekuzio; programa-exekuzio,Technological Sciences > Computer technology
execution phase,exekuzio-fase; exekuzio-urrats,Technological Sciences > Computer technology
execution phase,zertze fase,Technological Sciences > Environmental technology and engineering
expansion,dilatazio; zabalkuntza,Technological Sciences > Chemical technology and engineering
expansion,espantsio; garapen,Physics > General Physics specialities
expansion,dilatazio; zabalkuntza; espantsio,Technological Sciences > Environmental technology and engineering
expansion,hedapen,Economic Sciences > Economic theory
expansion,espantsio,Physics > Thermodynamics
expansionary fiscal policy,politika hedatzaile,Economic Sciences > Economic theory
expansionary fiscal policy,politika fiskal hedakor,Economic Sciences > General economics
expectation,itxaropen,Medical Sciences > Pharmacology
expectation,espektatiba,Economic Sciences > Economic theory
expectation,itxaropen; itxaropen matematiko,Mathematics > Statistics
experiment,esperimentu,Life sciences > Cell biology
experiment,esperimentu; saiakuntza,Physics > Electro-magnetism
experiment,saiakuntza,Physics > Aplied Physics
experiment,esperimentu,Chemistry > Physical chemistry
experiment,entsegu; esperimentu; saiakuntza,Technological Sciences > Environmental technology and engineering
experiment,esperimentu,Life sciences > Animal Biology
experiment,esperimentu; saiakuntza,Physics > General Physics specialities
experiment,esperimentu,Medical Sciences > Pharmaceutical Technology
experimental determination,zehaztapen esperimental,Technological Sciences > Environmental technology and engineering
experimental determination,determinazio esperimental,Chemistry > Physical chemistry
expiration,arnasbehera,Life sciences > Human physiology
expiration,arnasbotatze; espirazio,Medical Sciences > Medical diagnostic and Treatment Technology
expiration,espirazio,Medical Sciences > Pathology
expiration,arnasbehera; espirazio,Life sciences > Animal Biology
exponential representation,adierazpide esponentzial; forma esponentzial,Mathematics > Analysis and functional analysis
exponential representation,adierazpen esponentzial,Technological Sciences > Electrical technology and engineering
expression,adierazpen; errepresentazio; rudikapen,Mathematics > Analysis and functional analysis
expression,adierazpen,Physics > General Physics specialities
expression,adierazpen; DNAren adierazpen; espresio; espresio genetiko; espresio geniko; gene-adierazpen; gene-espresio; geneen adierazpen; geneen espresio,Life sciences > Biochemistry and Molecular Biology
expression,espresio,Technological Sciences > Computer technology
expression,adierazpen,Mathematics > Algebra
extension,fitxategi-luzapen; hedapen,Technological Sciences > Computer technology
extension,handitze,Technological Sciences > Projects
extension,dimentsio,Mathematics > Analysis and functional analysis
extension,hedadura,Technological Sciences > Environmental technology and engineering
extension,luzakin,Medical Sciences > Pharmaceutical Technology
extension,estentsio,Earth and Space Sciences > Geology
extinction coefficient,itzaltze-koefiziente,Chemistry > Physical chemistry
extinction coefficient,iraungipen-koefiziente,Physics > Optics
extract,erauzkin,Chemistry > Organic chemistry
extract,erauzkin,Life sciences > Biochemistry and Molecular Biology
extract,erauzi,Technological Sciences > Chemical technology and engineering
extract,erauzi,Physics > Aplied Physics
face,aurpegi,Medical Sciences > Pharmacology
face,aurpegi,Technological Sciences > Industrial technology
face,enkofratu,Technological Sciences > Mechanical engineering and technology
failure,porrot,Mathematics > Statistics
failure,gutxiegitasun; akats; huts,Medical Sciences > Pharmacology
fasting,barau luze,Life sciences > Human physiology
fasting,barau,Medical Sciences > Pharmacology
fault,akats; falta,Technological Sciences > Electrical technology and engineering
fault,faila,Earth and Space Sciences > Geology
fault,akats,Technological Sciences > Construction technology
fault,faila,Technological Sciences > Environmental technology and engineering
fault,akats; errore,Technological Sciences > Computer technology
feasible solution,soluzio egingarri,Mathematics > Analysis and functional analysis
feasible solution,soluzio bideragarri,Mathematics > Operations research
feedback,atzeraelikadura; berrelikadura,Technological Sciences > Telecommunications technology
feedback,berrelikadura,Earth and Space Sciences > Metereology and Oceanography
feedback,atzeraelikadura,Technological Sciences > Projects
feedback,atzera-lotura,Technological Sciences > Environmental technology and engineering
feeder,bateria-kargagailu; elikagailu; kargagailu,Technological Sciences > Electronic technology
feeder,elikadura-linea,Technological Sciences > Electrical technology and engineering
female,emakume,Medical Sciences > Pharmacology
female,eme,Life sciences > Cell biology
female,eme,Life sciences > Animal Biology
fiber,zuntz,Life sciences > Animal Biology
fiber,zuntz,Chemistry > Analytical chemistry
fiber,zuntz,Medical Sciences > Pharmacology
fiber,filamentu; harizpi; piru,Life sciences > Cell biology
fiber,zuntz,Technological Sciences > Environmental technology and engineering
fiber,zuntz,Medical Sciences > Pharmaceutical Technology
fibrous protein,PFE; proteina fibrotsu estruktural,Life sciences > Cell biology
fibrous protein,zuntz-proteina,Life sciences > Biochemistry and Molecular Biology
field,eremu,Technological Sciences > Electrical technology and engineering
field,eremu,Physics > Aplied Physics
field,eremu,Physics > Electro-magnetism
field,gorputz,Mathematics > Algebra
field,eremu; erregistro-eremu,Technological Sciences > Computer technology
field,eremu,Technological Sciences > Electronic technology
field,eremu,Physics > Mechanics
field,eremu,Technological Sciences > Instrumentation technology
field,eremu,Physics > Theoretical physics
field,gorputz; solido,Mathematics > Analysis and functional analysis
field,eremu,Physics > General Physics specialities
field vector,eremu bektorea,Physics > Aplied Physics
field vector,eremu-bektore,Physics > Electro-magnetism
filament,harizpi,Technological Sciences > Electrical technology and engineering
filament,harizpi,Physics > General Physics specialities
filament,filamentu; harizpi,Physics > Electro-magnetism
filament,filamentu,Chemistry > Analytical chemistry
filament,filamentu; harizpi; piru,Life sciences > Cell biology
file,fitxategi; fitxategi fisiko,Technological Sciences > Computer technology
file,espediente,Technological Sciences > Projects
file,fitxategi,Technological Sciences > Telecommunications technology
filter paper,iragazki-paper,Life sciences > Biochemistry and Molecular Biology
filter paper,iragazpaper,Chemistry > Physical chemistry
filtration,iragazketa,Life sciences > Microbiology
filtration,iragazketa,Life sciences > Human physiology
filtration,filtrazio; iragazketa; iragazpen,Technological Sciences > Environmental technology and engineering
filtration,iragazketa,Chemistry > Analytical chemistry
filtration,iragazketa,Medical Sciences > Medical diagnostic and Treatment Technology
filtration,iragazketa,Medical Sciences > Pharmaceutical Technology
filtration,iragazpen,Life sciences > Biochemistry and Molecular Biology
financing,finantzaketa; finantzatze; finantziazio,Economic Sciences > Organization and management of enterprises
financing,finantzaketa,Economic Sciences > General economics
financing,finantziazio,Technological Sciences > Projects
fit,doikuntza,Technological Sciences > Mechanical engineering and technology
fit,doikuntza,Mathematics > Statistics
fit,doitu,Technological Sciences > Industrial technology
fix,finkatu,Technological Sciences > Mechanical engineering and technology
fix,landatu,Technological Sciences > Construction technology
fixation,fixapen,Life sciences > Cell biology
fixation,finkapen,Technological Sciences > Environmental technology and engineering
fixation,finkapen,Medical Sciences > Microbiology
fixed asset,ibilgetu,Economic Sciences > Organization and management of enterprises
fixed asset,aktibo ez-korronte; aktibo finko,Economic Sciences > Economic accounting
fixed asset,aktibo finko; aktibo ibilgetu; ibilgetu,Economic Sciences > General economics
fixed point,koma finko,Technological Sciences > Telecommunications technology
fixed point,erreferentzia-puntu,Physics > Aplied Physics
fixed point,koma finko,Technological Sciences > Computer technology
fixed point,puntu finko,Mathematics > Analysis and functional analysis
flow,fluxu,Physics > General Physics specialities
flow,emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
flow,igaro; zeharkatu,Technological Sciences > Electrical technology and engineering
flow,fluxu,Economic Sciences > Organization and management of enterprises
flow,fluxu,Technological Sciences > Electronic technology
flow,fluxu,Chemistry > Analytical chemistry
flow,emari,Physics > Electro-magnetism
flow,fluxu,Medical Sciences > Pharmacology
flow,kolada,Earth and Space Sciences > Geology
flow,emari,Medical Sciences > Pharmaceutical Technology
flow,fluxu,Technological Sciences > Instrumentation technology
flow,emari,Physics > Mechanics
flow,emari,Physics > Fluids (physics of)
flow rate,fluxu-abiadura,Life sciences > Biochemistry and Molecular Biology
flow rate,fluxu-abiadura; emari; fluxu; jario,Technological Sciences > Environmental technology and engineering
flow rate,emari,Physics > General Physics specialities
