basque,english,context
diagonal,diagonal,Mathematics > Analysis and functional analysis
diagonal,web,Technological Sciences > Construction technology
dibisa,currency,Economic Sciences > General economics
dibisa,foreign exchange,Economic Sciences > Economic theory
dibisa,foreign currency; foreign exchange,Economic Sciences > Organization and management of enterprises
difusio,diffusion,Chemistry > Analytical chemistry
difusio,diffusion,Technological Sciences > Electronic technology
difusio,diffusion,Medical Sciences > Pharmaceutical Technology
difusio,broadcast,Technological Sciences > Telecommunications technology
difusio,diffusion,Chemistry > Physical chemistry
difusio,diffusion,Life sciences > Animal Biology
difusio,diffusion,Technological Sciences > Environmental technology and engineering
difusio,diffusion,Life sciences > Cell biology
difusio erraztu,facilitated diffusion; passive-mediated transport,Life sciences > Cell biology
difusio erraztu,facilitated diffussion,Life sciences > Biochemistry and Molecular Biology
difusio erraztu,facilitated diffusion; facilitated transport,Life sciences > Animal Biology
difusio-abiadura,difusion rate,Life sciences > Human physiology
difusio-abiadura,diffusion velocity,Chemistry > Analytical chemistry
digestio-aparatu,digestive apparatus; digestive system; digestive tract,Medical Sciences > Pharmacology
digestio-aparatu,gastrointestinal system,Life sciences > Human physiology
digestio-aparatu,digestive apparatus,Life sciences > Microbiology
digestio-hodi,digestive tube,Life sciences > Animal Biology
digestio-hodi,gut tract,Medical Sciences > Microbiology
dilatazio,dilation; expansion,Technological Sciences > Chemical technology and engineering
dilatazio,dilation,Technological Sciences > Construction technology
dilatazio,dilation,Life sciences > Human physiology
dilatazio,expansion,Technological Sciences > Environmental technology and engineering
diodo argi-igorle,LED diode; Light Emitting Diode,Technological Sciences > Electronic technology
diodo argi-igorle,light diode; light-emitting diode,Physics > Electro-magnetism
diodo argi-igorle,light-emitting diode,Technological Sciences > Computer technology
diru-laguntza,subsidy,Economic Sciences > Economic theory
diru-laguntza,grant; subsidy,Technological Sciences > Projects
diru-laguntza,monetary aid,Economic Sciences > General economics
disko,disk,Physics > Electro-magnetism
disko,disk,Medical Sciences > Medical diagnostic and Treatment Technology
disko,disc,Physics > Fluids (physics of)
diskordantzia,unconformity,Technological Sciences > Environmental technology and engineering
diskordantzia,angular unconformity,Earth and Space Sciences > Geology
disoluzio,disolution,Life sciences > Animal Biology
disoluzio,solution,Chemistry > Physical chemistry
disoluzio,dissolution; solution,Technological Sciences > Environmental technology and engineering
disoluzio,dissolution,Medical Sciences > Pharmaceutical Technology
disoluzio,solution,Physics > Fluids (physics of)
disoluzio,solution,Chemistry > Analytical chemistry
disoluzio,solution,Technological Sciences > Electronic technology
disoluzio ama,stock solution,Chemistry > Physical chemistry
disoluzio ama,mother solution,Life sciences > Cell biology
dispertsio,dispersion,Medical Sciences > Pharmaceutical Technology
dispertsio,dispersion; scattering,Physics > Electro-magnetism
dispertsio,dispersion,Chemistry > Analytical chemistry
dispertsio,dispersion,Medical Sciences > Medical diagnostic and Treatment Technology
dispertsio,dispersion,Economic Sciences > Econometrics
dispertsio,dispersion; scatter; spread,Technological Sciences > Construction technology
dispertsio,dispersion,Technological Sciences > Environmental technology and engineering
dispertsio,dispersion,Chemistry > Physical chemistry
dispertsio,dispersion,Physics > Optics
distira,shine,Medical Sciences > Pharmaceutical Technology
distira,brightness,Technological Sciences > Environmental technology and engineering
distortsio,distortion,Medical Sciences > Medical diagnostic and Treatment Technology
distortsio,distorsion,Physics > Electro-magnetism
distortsio,distortion,Technological Sciences > Telecommunications technology
distortsio,distortion,Technological Sciences > Environmental technology and engineering
distortsio,distortion,Technological Sciences > Construction technology
DNA molekula,DNA molecule,Life sciences > Biochemistry and Molecular Biology
DNA molekula,deoxyribonucleic acid,Life sciences > Cell biology
DNA-sekuentzia,DNA sequence,Life sciences > Biochemistry and Molecular Biology
DNA-sekuentzia,sequence,Life sciences > Cell biology
DNAren paketamendu,DNA packaging,Life sciences > Cell biology
DNAren paketamendu,DNA packing; packing of DNA,Life sciences > Biochemistry and Molecular Biology
doikuntza,ajustement,Technological Sciences > Construction technology
doikuntza,adjustment,Economic Sciences > Econometrics
doikuntza,adjustment,Chemistry > Physical chemistry
doikuntza,fit,Mathematics > Statistics
doikuntza,adjustment; setting,Technological Sciences > Electrical technology and engineering
doikuntza,fitting,Medical Sciences > Pharmaceutical Technology
doikuntza,fitting,Technological Sciences > Industrial technology
doikuntza,fit,Technological Sciences > Mechanical engineering and technology
doitu,adjust,Economic Sciences > Organization and management of enterprises
doitu,adjust,Economic Sciences > Econometrics
doitu,adjust; fit,Technological Sciences > Industrial technology
doitu,adjust; regulate; set,Technological Sciences > Electrical technology and engineering
dosifikazio,dosage; dosification,Medical Sciences > Pharmacology
dosifikazio,dosing,Technological Sciences > Environmental technology and engineering
dosifikazio,dosage,Medical Sciences > Pharmaceutical Technology
ebaketa,intersection,Mathematics > Analysis and functional analysis
ebaketa,bisection metod,Technological Sciences > Construction technology
ebaketa,section,Technological Sciences > Projects
ebaketa,intersection,Mathematics > Algebra
ebaketa-plano,section plane,Technological Sciences > Mechanical engineering and technology
ebaketa-plano,cutting plane,Technological Sciences > Industrial technology
ebakidura,intersection; intersection set,Mathematics > Analysis and functional analysis
ebakidura,intersection,Mathematics > Statistics
ebakidura,intersection,Mathematics > Topology
ebakidura,cut-off; intersection; section,Physics > Electro-magnetism
ebakidura,section,Technological Sciences > Projects
ebakidura,section view,Technological Sciences > Industrial technology
ebakidura,section,Technological Sciences > Construction technology
ebakidura,intersection,Mathematics > Algebra
ebakidura,intersection,Technological Sciences > Electronic technology
ebakidura partzial,broken-out section view,Technological Sciences > Industrial technology
ebakidura partzial,clipping section,Technological Sciences > Mechanical engineering and technology
ebaluazio,assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
ebaluazio,assessment; evaluation,Technological Sciences > Projects
ebaluazio,evaluation,Life sciences > Cell biology
ebaluazio,evaluation,Medical Sciences > Dentistry
ebatzi,solve,Technological Sciences > Environmental technology and engineering
ebatzi,resolve; solve,Mathematics > Analysis and functional analysis
ebazpen,solution,Mathematics > Analysis and functional analysis
ebazpen,resolution,Medical Sciences > Nutritional sciences
ebidentzia,evidence; proof,Physics > Electro-magnetism
ebidentzia,evidence,Medical Sciences > Pharmacology
ebidentzia,evidence,Technological Sciences > Naval techonology
ebidentzia,proof,Technological Sciences > Environmental technology and engineering
efikazia,efficacy,Medical Sciences > Pharmacology
efikazia,effectiveness; efficacy,Life sciences > Biochemistry and Molecular Biology
egitura,structure,Mathematics > Algebra
egitura,structure,Physics > Electro-magnetism
egitura,structure,Medical Sciences > Pharmacology
egitura,structure,Technological Sciences > Environmental technology and engineering
egitura,structure,Technological Sciences > Projects
egitura,structure,Technological Sciences > Electrical technology and engineering
egitura,format,Technological Sciences > Instrumentation technology
egitura,structure,Technological Sciences > Construction technology
egitura,structure,Medical Sciences > Pharmaceutical Technology
egitura kristalino,crystal structure,Earth and Space Sciences > Geology
egitura kristalino,crystalline structure,Chemistry > Physical chemistry
egitura lau,flat structure,Chemistry > Organic chemistry
egitura lau,planar structure,Technological Sciences > Construction technology
egitura zurrun,rigid structure,Chemistry > Organic chemistry
egitura zurrun,rigid structure,Technological Sciences > Construction technology
egitura zurrun,tight structure,Technological Sciences > Mechanical engineering and technology
egitura-elementu,structural part,Technological Sciences > Mechanical engineering and technology
egitura-elementu,structural element,Technological Sciences > Construction technology
egoera,state,Physics > Electro-magnetism
egoera,state,Medical Sciences > Pharmacology
egoera,state,Technological Sciences > Computer technology
egoera,status,Mathematics > Statistics
egoera,state,Physics > General Physics specialities
egoera,state,Chemistry > Physical chemistry
egoera,state,Technological Sciences > Instrumentation technology
egoera,state,Physics > Theoretical physics
egoera egonkor,stable state,Physics > Theoretical physics
egoera egonkor,stable regime; steady state,Technological Sciences > Electrical technology and engineering
egoera egonkor,steady state,Technological Sciences > Electronic technology
egoera egonkor,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
egoera egonkor,stable state,Physics > General Physics specialities
egoera geldikor,stationary state,Physics > Thermodynamics
egoera geldikor,steady-state,Technological Sciences > Electrical technology and engineering
egoera geldikor,steady state,Physics > General Physics specialities
egoera geldikor,stable condition; stationary phase; steady state,Technological Sciences > Environmental technology and engineering
egoera iragankor,transient state,Physics > General Physics specialities
egoera iragankor,transient response,Technological Sciences > Electronic technology
egoera iragankor,transient state,Technological Sciences > Electrical technology and engineering
egokitzapen,matching,Technological Sciences > Telecommunications technology
egokitzapen,matching,Physics > Electro-magnetism
egokitzapen,tailoring,Technological Sciences > Projects
egokitzapen,packaging,Medical Sciences > Pharmaceutical Technology
egokitzapen,correspondence; mapping,Technological Sciences > Computer technology
egonkortasun estatiko,steady-state stability,Technological Sciences > Electrical technology and engineering
egonkortasun estatiko,static stability,Technological Sciences > Construction technology
egonkortasun-baldintza,condition for stability; stability condition,Physics > Thermodynamics
egonkortasun-baldintza,stability conditions,Technological Sciences > Construction technology
eguzki-panel,PV panel; solar panel,Technological Sciences > Electrical technology and engineering
eguzki-panel,solar cell panel,Technological Sciences > Construction technology
eguzki-panel,photovoltaic module; photovoltaic panel; solar module; solar panel,Technological Sciences > Environmental technology and engineering
eiekzio-frakzio,ejection fraction,Life sciences > Human physiology
eiekzio-frakzio,stroke volume,Medical Sciences > Pathology
ekintza zuzentzaile,correcting measure; corrective measure,Technological Sciences > Environmental technology and engineering
ekintza zuzentzaile,corrective action,Technological Sciences > Projects
ekintza-mekanismo,action mechanism; mechanism of action,Medical Sciences > Pharmacology
ekintza-mekanismo,mechanism of action,Chemistry > Organic chemistry
ekintza-mekanismo,action mechanism,Life sciences > Animal Biology
ekintza-mekanismo,action mechanism,Life sciences > Human physiology
ekoizle,generator,Physics > Thermodynamics
ekoizle,producer,Economic Sciences > General economics
ekoizle,manufacturer,Medical Sciences > Pharmaceutical Technology
ekoizle,producer,Economic Sciences > Economic theory
ekoizle,producer,Technological Sciences > Environmental technology and engineering
ekoizpen,output; production,Economic Sciences > Economic theory
ekoizpen,output; production,Technological Sciences > Environmental technology and engineering
ekoizpen,production,Economic Sciences > Organization and management of enterprises
ekoizpen,production,Life sciences > Animal Biology
ekoizpen,production,Mathematics > Analysis and functional analysis
ekoizpen,production,Technological Sciences > Projects
ekoizpen,manufacturing,Medical Sciences > Pharmaceutical Technology
ekoizpen,production,Economic Sciences > General economics
ekoizpen,production,Technological Sciences > Instrumentation technology
ekoizpen-aukeren muga,production possibilities frontier,Economic Sciences > Economic theory
ekoizpen-aukeren muga,production possibility boundary; production possibility frontier; production-possibility frontier,Economic Sciences > General economics
ekoizpen-baliabide,manufacturing resource,Economic Sciences > Organization and management of enterprises
ekoizpen-baliabide,manufactoring resource; productive resource,Economic Sciences > General economics
ekoizpen-faktore,factor of production; production factor; production input,Economic Sciences > Economic theory
ekoizpen-faktore,factor of production; factors of production; production factor,Economic Sciences > General economics
ekoizpen-prozesu,production process,Economic Sciences > General economics
ekoizpen-prozesu,manufacturing process,Medical Sciences > Pharmaceutical Technology
ekoizpen-prozesu,productive process,Economic Sciences > Organization and management of enterprises
ekoizpen-prozesu,production process,Life sciences > Animal Biology
ekorketa,scanning,Medical Sciences > Pharmaceutical Technology
ekorketa,sweep,Physics > Electro-magnetism
ekorketa,scanning,Chemistry > Organic chemistry
ekuazio,equation,Mathematics > Algebra
ekuazio,equation,Physics > Electro-magnetism
ekuazio,equation,Technological Sciences > Environmental technology and engineering
ekuazio,equation,Mathematics > Analysis and functional analysis
ekuazio,equation,Physics > General Physics specialities
ekuazio,ecuation,Medical Sciences > Pharmaceutical Technology
ekuazio-sistema,equation system,Physics > General Physics specialities
ekuazio-sistema,equation system; system of equations,Mathematics > Analysis and functional analysis
ekuazio-sistema,equation system,Technological Sciences > Electrical technology and engineering
ekuazio-sistema,system of equations,Physics > Electro-magnetism
ekuazio-sistema,system of equations,Mathematics > Algebra
elektroi-emaile,electron donor,Technological Sciences > Environmental technology and engineering
elektroi-emaile,donor; electron donor,Technological Sciences > Electronic technology
elektroi-emaile,electron-donating; electron-releasing,Chemistry > Organic chemistry
elektroi-hartzaile,electron-acceptor; electron-withdrawing,Chemistry > Organic chemistry
elektroi-hartzaile,electron acceptor,Technological Sciences > Environmental technology and engineering
elektroi-hartzaile,acceptor; electron acceptor,Technological Sciences > Electronic technology
elementu geometriko,geometric element,Technological Sciences > Industrial technology
elementu geometriko,geometric feature,Technological Sciences > Mechanical engineering and technology
elikadura,feed,Technological Sciences > Environmental technology and engineering
elikadura,diet; food,Technological Sciences > Food technology
elikadura,feeding; nutrition,Life sciences > Animal Biology
elikadura,diet; food; nutrition,Medical Sciences > Pharmacology
elikadura,energizing; power supply; supply,Technological Sciences > Electrical technology and engineering
elikadura,alimentation; power; power source; power supply,Technological Sciences > Electronic technology
elikadura-iturri,power source; power supply,Technological Sciences > Electronic technology
elikadura-iturri,power source,Physics > Electro-magnetism
elikadura-iturri,power supply,Physics > Thermodynamics
elikagai,nutrient,Life sciences > Cell biology
elikagai,food,Medical Sciences > Pharmaceutical Technology
elikagai,foodstuff,Medical Sciences > Nutritional sciences
elikagai,nutrient,Technological Sciences > Environmental technology and engineering
elikagai,food; nutrient,Life sciences > Animal Biology
elikatze,feeding,Life sciences > Animal Biology
elikatze,energizing; power supply,Technological Sciences > Electrical technology and engineering
elkarketa,association,Physics > Electro-magnetism
elkarketa,combination,Medical Sciences > Pharmacology
elkarketa,association,Technological Sciences > Electrical technology and engineering
elkarrekintza-indar,interaction force,Physics > Electro-magnetism
elkarrekintza-indar,interactive force,Chemistry > Physical chemistry
emaitza garbi,gross profit,Economic Sciences > Economic accounting
emaitza garbi,net result,Economic Sciences > Organization and management of enterprises
emaitza-kontu,income statement; profit and loss,Economic Sciences > General economics
emaitza-kontu,statement of income,Economic Sciences > Economic accounting
emari,flow,Physics > Electro-magnetism
emari,flow,Medical Sciences > Pharmaceutical Technology
emari,flow,Physics > Mechanics
emari,flow,Physics > Fluids (physics of)
emari,flow rate,Physics > General Physics specialities
emari,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
emisio,discharge; dump; dumping; emission; release,Technological Sciences > Environmental technology and engineering
emisio,emission,Medical Sciences > Medical diagnostic and Treatment Technology
emisio,issue,Economic Sciences > Organization and management of enterprises
emultsionatzaile,emulsifying,Medical Sciences > Pharmaceutical Technology
emultsionatzaile,emulsifier,Technological Sciences > Food technology
emultsionatzaile,emulsifier,Life sciences > Biochemistry and Molecular Biology
energia elektriko,electric energy; electrical energy,Physics > Electro-magnetism
energia elektriko,electric energy; electric power; electrical energy,Technological Sciences > Electronic technology
energia elektriko,electric energy,Chemistry > Physical chemistry
energia elektriko,electric energy; electrical energy,Technological Sciences > Environmental technology and engineering
energia elektriko,electric power; electrical energy,Technological Sciences > Electrical technology and engineering
energia erabilgarri,available energy,Technological Sciences > Electrical technology and engineering
energia erabilgarri,available energy,Technological Sciences > Environmental technology and engineering
energia erabilgarri,useful energy,Technological Sciences > Chemical technology and engineering
energia-balantze,energy budget; heat balance,Earth and Space Sciences > Metereology and Oceanography
energia-balantze,energy balance,Technological Sciences > Electrical technology and engineering
energia-balantze,energy balance,Technological Sciences > Environmental technology and engineering
energia-balantze,energy balance,Life sciences > Animal Biology
energia-egoera,energy level; energy state,Physics > General Physics specialities
energia-egoera,energetic state,Life sciences > Biochemistry and Molecular Biology
energia-iturri,energy source,Life sciences > Animal Biology
energia-iturri,energy source,Chemistry > Physical chemistry
energia-iturri,energy source,Earth and Space Sciences > Metereology and Oceanography
energia-iturri,power source,Physics > Aplied Physics
energia-iturri,energy source,Life sciences > Biochemistry and Molecular Biology
energia-iturri,energy source,Technological Sciences > Environmental technology and engineering
energia-iturri,energy source,Technological Sciences > Electrical technology and engineering
energia-iturri,energy source,Technological Sciences > Chemical technology and engineering
energiaren kontserbazio-printzipio,principle of conservation of energy,Technological Sciences > Electrical technology and engineering
energiaren kontserbazio-printzipio,law of conservation of energy,Technological Sciences > Electronic technology
enkante,auctioning; automatic award,Technological Sciences > Projects
enkante,auctioning,Economic Sciences > General economics
enpresa,enterprise,Economic Sciences > General economics
enpresa,enterprise,Technological Sciences > Instrumentation technology
enpresa,company; enterprise; firm,Economic Sciences > Organization and management of enterprises
enpresa,firm,Economic Sciences > Economic theory
enpresaburu,entrepreneur,Economic Sciences > General economics
enpresaburu,employer; enterpriser; entrepreneur,Economic Sciences > Organization and management of enterprises
enpresari,entrepreneur,Economic Sciences > General economics
enpresari,employer; enterpriser; entrepreneur,Economic Sciences > Organization and management of enterprises
entsegu,trial,Medical Sciences > Pharmacology
entsegu,assay,Life sciences > Biochemistry and Molecular Biology
entsegu,experiment; test; trial,Technological Sciences > Environmental technology and engineering
epai,verdict,Medical Sciences > Nutritional sciences
epai,judgment,Technological Sciences > Environmental technology and engineering
epe,lead time,Technological Sciences > Projects
epe,deadline; period,Medical Sciences > Pharmacology
epe labur,short term; short-run,Economic Sciences > Economic theory
epe labur,short run; short term,Economic Sciences > Organization and management of enterprises
epe labur,short-run,Economic Sciences > General economics
epe labur,short-term,Medical Sciences > Pharmacology
epe luze,long run; long term,Economic Sciences > Organization and management of enterprises
epe luze,long-run,Economic Sciences > General economics
epe luze,long term; long-run,Economic Sciences > Economic theory
epe luze,long-term,Medical Sciences > Pharmacology
epe luzeko finantzaketa,long-term funding,Economic Sciences > Economic accounting
epe luzeko finantzaketa,long-run financing; long-term financing,Economic Sciences > Organization and management of enterprises
epidemia,epidemic,Medical Sciences > Public health
epidemia,disease outbreak; epidemic outbreak,Medical Sciences > Microbiology
epitelio,epithelial tissue; epithelium,Life sciences > Cell biology
epitelio,ephitelium,Life sciences > Human physiology
erabilgarritasun,availability,Mathematics > Analysis and functional analysis
erabilgarritasun,availability,Physics > Electro-magnetism
erabilgarritasun,availability,Technological Sciences > Telecommunications technology
erabilgarritasun,availability,Technological Sciences > Environmental technology and engineering
erabilgarritasun,utility,Medical Sciences > Pharmacology
erabilgarritasun,usability,Technological Sciences > Electronic technology
erabiltzaile,consumer; customer,Technological Sciences > Electrical technology and engineering
erabiltzaile,user,Technological Sciences > Computer technology
eragiketa,operation,Mathematics > Analysis and functional analysis
eragiketa,operation,Physics > General Physics specialities
eragiketa,operation,Technological Sciences > Environmental technology and engineering
eragiketa,operation,Economic Sciences > Organization and management of enterprises
eragiketa,operation; manoeuvre,Technological Sciences > Electrical technology and engineering
eragiketa,operation,Technological Sciences > Computer technology
eragiketa,operation,Mathematics > Algebra
eragiketa,operation,Technological Sciences > Telecommunications technology
eragile,operator,Technological Sciences > Telecommunications technology
eragile,operator,Physics > Theoretical physics
eragile,inducer,Medical Sciences > Pharmaceutical Technology
eragile,operator,Mathematics > Analysis and functional analysis
eragile,actuator,Technological Sciences > Environmental technology and engineering
eragile,operator,Physics > General Physics specialities
eragile,operator,Physics > Electro-magnetism
eragile,effector,Life sciences > Biochemistry and Molecular Biology
eragin,action; effect,Medical Sciences > Pharmaceutical Technology
eragin,effect,Medical Sciences > Pharmacology
eragin,impact,Technological Sciences > Environmental technology and engineering
eraginkortasun,efficiency,Economic Sciences > Organization and management of enterprises
eraginkortasun,efficacy; efficiency; throughput; yield; effectiveness,Technological Sciences > Environmental technology and engineering
eraginkortasun,effectiveness; efficacy,Life sciences > Biochemistry and Molecular Biology
eraginkortasun,efficiency,Technological Sciences > Instrumentation technology
eraginkortasun,efficiency,Medical Sciences > Pharmaceutical Technology
eraginkortasun,efficiency,Technological Sciences > Telecommunications technology
eraginkortasun,efficiency,Economic Sciences > General economics
eraginkortasun,efficiency,Physics > Fluids (physics of)
eraginkortasun,efficiency,Physics > Electro-magnetism
eraginkortasun,efficiency,Mathematics > Statistics
eraginkortasun,efficiency,Technological Sciences > Computer technology
eraginkortasun,efficacy,Medical Sciences > Pharmacology
eraginkortasun,efficiency,Chemistry > Analytical chemistry
eraikitzaile,constructor; constructor method,Technological Sciences > Computer technology
eraikitzaile,builder,Technological Sciences > Projects
eraikuntza,building,Technological Sciences > Construction technology
eraikuntza,building; construction,Technological Sciences > Projects
eraikuntza,construction,Technological Sciences > Computer technology
eraitsi,fold down,Technological Sciences > Mechanical engineering and technology
eraitsi,revolve,Technological Sciences > Industrial technology
erakarpen-indar,attractive force; force of attraction,Technological Sciences > Environmental technology and engineering
erakarpen-indar,attraction force; attractive force,Physics > General Physics specialities
erakarpen-indar,attraction force,Technological Sciences > Construction technology
erakarpen-indar,attractive force; force of attraction,Physics > Mechanics
erakarpen-indar,attraction force,Physics > Aplied Physics
erakarpen-indar,attraction; attractive force,Physics > Electro-magnetism
eramaile,vehicle,Medical Sciences > Pharmaceutical Technology
eramaile,carrier,Medical Sciences > Microbiology
eramaile,carrier; charge carrier,Physics > Electro-magnetism
eramaile,carrier; charge carrier; charged particle,Technological Sciences > Electronic technology
eramaile,carrier; carrier signal; carrier wave,Technological Sciences > Telecommunications technology
eraso,incidence,Physics > Electro-magnetism
eraso,incide,Physics > Aplied Physics
eraso-angelu,angle of attack,Physics > Fluids (physics of)
eraso-angelu,angle of incidence; incidence angle,Physics > Electro-magnetism
eraso-angelu,angle of incidence,Technological Sciences > Telecommunications technology
eraso-angelu,angle of incidence,Physics > Optics
eraso-angelu,angle of attack,Technological Sciences > Electrical technology and engineering
eredu,model,Economic Sciences > Econometrics
eredu,model,Technological Sciences > Telecommunications technology
eredu,model,Technological Sciences > Electrical technology and engineering
eredu,model; pattern,Medical Sciences > Pharmacology
eredu,model,Physics > Electro-magnetism
eredu,model,Mathematics > Analysis and functional analysis
eremu,field,Physics > Electro-magnetism
eremu,field,Technological Sciences > Electronic technology
eremu,domain,Mathematics > Algebra
eremu,field; record field,Technological Sciences > Computer technology
eremu,area,Technological Sciences > Projects
eremu,field,Physics > General Physics specialities
eremu,domain,Mathematics > Analysis and functional analysis
eremu,field,Physics > Mechanics
eremu,field,Technological Sciences > Instrumentation technology
eremu,field,Physics > Theoretical physics
eremu,domain,Technological Sciences > Telecommunications technology
eremu,field,Technological Sciences > Electrical technology and engineering
eremu,field,Physics > Aplied Physics
eremu-intentsitate,field intensity,Physics > Electro-magnetism
eremu-intentsitate,field strength,Technological Sciences > Telecommunications technology
erlazio,relation,Mathematics > Algebra
erlazio,relation,Medical Sciences > Pharmacology
erlazio,relation; relationship,Technological Sciences > Computer technology
erlazio,relationship,Technological Sciences > Projects
erlazio,relation; relationship,Mathematics > Analysis and functional analysis
ernalketa,fecundation; fertilization,Life sciences > Cell biology
ernalketa,fertilisation,Life sciences > Animal Biology
ernalketa,fecundation,Medical Sciences > Pharmacology
eroanbide,duct,Technological Sciences > Environmental technology and engineering
eroanbide,cable duct; cable tray,Technological Sciences > Electrical technology and engineering
erosketa,purchase,Economic Sciences > General economics
erosketa,purchase,Economic Sciences > Organization and management of enterprises
erosketa,acquisition,Technological Sciences > Projects
erosle,buyer; purchaser,Economic Sciences > General economics
erosle,buyer,Technological Sciences > Projects
erradiazio-eremu,radiation range,Chemistry > Analytical chemistry
erradiazio-eremu,radiated field; radiation field,Physics > Electro-magnetism
erradio,radius,Medical Sciences > Pharmaceutical Technology
erradio,radius,Technological Sciences > Mechanical engineering and technology
erradio,radius,Physics > Electro-magnetism
erradio,radius,Mathematics > Analysis and functional analysis
erradio,radius,Physics > General Physics specialities
erradio,radio,Physics > Aplied Physics
errausketa-labe,incineration furnace; incinerator,Technological Sciences > Chemical technology and engineering
errausketa-labe,incineration chamber,Technological Sciences > Environmental technology and engineering
erre,burn,Technological Sciences > Chemical technology and engineering
erre,roast,Technological Sciences > Food technology
erreaktibo,reactant; reagent,Chemistry > Organic chemistry
erreaktibo,reactive; reagent,Chemistry > Analytical chemistry
erreaktibo,reactive,Technological Sciences > Electrical technology and engineering
erreaktibo,reactant; reagent,Technological Sciences > Environmental technology and engineering
erreaktibo,reagent,Chemistry > Physical chemistry
erreaktibo,reagent,Medical Sciences > Pharmaceutical Technology
erreaktibo,reagent,Life sciences > Cell biology
erreakzio-abiadura,reaction rate,Medical Sciences > Pharmaceutical Technology
erreakzio-abiadura,rate of reaction; reaction rate,Technological Sciences > Environmental technology and engineering
erreakzio-abiadura,rate of reaction; reaction velocity,Chemistry > Physical chemistry
erreakzio-indar,reactive force,Technological Sciences > Construction technology
erreakzio-indar,reaction force,Physics > Aplied Physics
errebote,rebound,Medical Sciences > Pharmacology
errebote,contact bounce,Technological Sciences > Computer technology
erredox erreakzio,redox reaction,Chemistry > Organic chemistry
erredox erreakzio,oxidation-reduction reaction; redox reaction,Technological Sciences > Environmental technology and engineering
erredox-bikote,redox couple,Life sciences > Biochemistry and Molecular Biology
erredox-bikote,redox pair,Chemistry > Analytical chemistry
erreferentzia-sistema,frame of reference; reference system,Physics > Aplied Physics
erreferentzia-sistema,reference system,Technological Sciences > Electrical technology and engineering
erreferentzia-sistema,reference system,Mathematics > Analysis and functional analysis
erreferentzia-sistema,frame system,Technological Sciences > Construction technology
erreferentzia-sistema,frame of reference; reference system,Physics > Mechanics
erreferentzia-sistema,reference system,Physics > General Physics specialities
erreferentzia-sistema,reference system,Physics > Electro-magnetism
errefrakzio-indize,index of refraction; refractive index,Technological Sciences > Telecommunications technology
errefrakzio-indize,index of refraction; refractive index,Physics > Electro-magnetism
errefrakzio-indize,refractive index,Chemistry > Analytical chemistry
errefrakzio-indize,refractive index,Life sciences > Cell biology
errefrakzio-indize,refractive index,Physics > Optics
errefrakzio-indize,refraction index; refractive index,Life sciences > Biochemistry and Molecular Biology
errefrakzio-indize,refraction index,Physics > General Physics specialities
errefrakzio-indize,refraction index; refractive index,Chemistry > Physical chemistry
erregimen iragankor,transient state,Technological Sciences > Electrical technology and engineering
erregimen iragankor,transient-state,Technological Sciences > Telecommunications technology
erregimen iragankor,transient regime,Physics > Electro-magnetism
erregimen iraunkor,stable regime; steady state,Technological Sciences > Electrical technology and engineering
erregimen iraunkor,steady-state,Technological Sciences > Telecommunications technology
erregimen iraunkor,steady state,Technological Sciences > Electronic technology
erregimen iraunkor,steady state,Physics > Fluids (physics of)
erregimen iraunkor,steady state,Physics > Electro-magnetism
erregistro,register,Technological Sciences > Environmental technology and engineering
erregistro,record; register,Technological Sciences > Computer technology
erreguladore,buffer solution,Chemistry > Physical chemistry
erreguladore,regulator; voltage regulator,Technological Sciences > Electronic technology
erreguladore,regulator,Technological Sciences > Electrical technology and engineering
erregulazio-balbula,regulating valve,Technological Sciences > Environmental technology and engineering
erregulazio-balbula,control valve,Physics > Fluids (physics of)
errendimendu,efficiency; performance,Technological Sciences > Electrical technology and engineering
errendimendu,return; yield,Economic Sciences > Organization and management of enterprises
errendimendu,performance,Physics > Electro-magnetism
errendimendu,performance,Technological Sciences > Computer technology
errendimendu,return,Economic Sciences > Economic theory
errendimendu,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
errenkada,column,Technological Sciences > Telecommunications technology
errenkada,row,Mathematics > Analysis and functional analysis
errenkada-bektore,column vector,Technological Sciences > Telecommunications technology
errenkada-bektore,row vector,Mathematics > Algebra
errenta erabilgarri,disposable income,Economic Sciences > Economic theory
errenta erabilgarri,disposable income,Economic Sciences > Organization and management of enterprises
errenta erabilgarri,personal disposable income,Economic Sciences > General economics
errentagarritasun ekonomiko,economic return,Economic Sciences > Economic accounting
errentagarritasun ekonomiko,economic profitability,Economic Sciences > General economics
errentagarritasun finantzario,financial return,Economic Sciences > Economic accounting
errentagarritasun finantzario,finantial profitability,Economic Sciences > General economics
errentaren gaineko zerga,income tax,Economic Sciences > General economics
errentaren gaineko zerga,income tax; tax on income,Economic Sciences > Organization and management of enterprises
errepikakortasun,repetitivity,Technological Sciences > Telecommunications technology
errepikakortasun,repeatability,Medical Sciences > Pharmaceutical Technology
erreserba,reserve,Technological Sciences > Environmental technology and engineering
erreserba,reserve,Economic Sciences > Economic theory
erreserba,reserve,Technological Sciences > Projects
erreserba,reserve,Economic Sciences > Organization and management of enterprises
